"buyingcomp","compregion","compcountry","product","complementprod"
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi""","""Flex Cable for Raspberry Pi Camera or Display - 300mm / 12\"""""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Adalogger""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Adalogger""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Basic Proto""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Basic Proto""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Bluefruit LE""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 Bluefruit LE""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 RFM96 LoRa Radio - 433MHz - RadioFruit""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather 32u4 RFM96 LoRa Radio - 433MHz - RadioFruit""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather HUZZAH with ESP8266 - Loose Headers""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Adalogger""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Adalogger""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Basic Proto - ATSAMD21 Cortex M0""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Basic Proto - ATSAMD21 Cortex M0""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Express - ATSAMD21 Cortex M0""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 Express - ATSAMD21 Cortex M0""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 RFM96 LoRa Radio - 433MHz - RadioFruit""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 RFM96 LoRa Radio - 433MHz - RadioFruit""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 WiFi - ATSAMD21 + ATWINC1500""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather M0 WiFi - ATSAMD21 + ATWINC1500""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Feather STM32F405 Express""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit HUZZAH32 – ESP32 Feather Board""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit HUZZAH32 – ESP32 Feather Board""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit HUZZAH ESP8266 Breakout""","""USB to TTL Serial Cable - Debug / Console Cable for Raspberry Pi"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit ItsyBitsy 32u4 - 3V 8MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit ItsyBitsy 32u4 - 5V 16MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit ItsyBitsy M4 Express featuring ATSAMD51""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit LoRa Radio FeatherWing - RFM95W 900 MHz - RadioFruit""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit LoRa Radio FeatherWing - RFM95W 900 MHz - RadioFruit""","""Stacking Headers for Feather - 12-pin and 16-pin female headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit MCP9600 I2C Thermocouple Amplifier - K, J, T, N, S, E, B and R Type T""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Perma-Proto HAT for Pi Mini Kit - No EEPROM""","""Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Perma-Proto HAT for Pi Mini Kit - No EEPROM""","""GPIO Stacking Header for Pi A+/B+/Pi 2/Pi 3 - Extra-long 2x20 Pins"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Perma-Proto HAT for Pi Mini Kit - No EEPROM""","""Stacking Header for Pi A+/B+/Pi 2/Pi 3 - 2x20 Extra Tall Header"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Perma-Proto HAT for Pi Mini Kit - With EEPROM""","""Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Pro Trinket - 3V 12MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Pro Trinket - 5V 16MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit PT100 RTD Temperature Sensor Amplifier - MAX31865""","""Platinum RTD Sensor - PT100 - 3 Wire 1 meter long"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit RGB Matrix HAT + RTC for Raspberry Pi - Mini Kit""","""Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Ultimate GPS HAT for Raspberry Pi A+/B+/Pi 2/3/Pi 4 - Mini Kit""","""Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2"""
"""Distrelec""","""Europe""","""Switzerland""","""Adafruit Universal Thermocouple Amplifier MAX31856 Breakout""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip"""
"""Distrelec""","""Europe""","""Switzerland""","""Analog Output K-Type Thermocouple Amplifier - AD8495 Breakout""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip"""
"""Distrelec""","""Europe""","""Switzerland""","""Flex Cable for Raspberry Pi Camera or Display - 100mm / 4\""""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi"""
"""Distrelec""","""Europe""","""Switzerland""","""Flex Cable for Raspberry Pi Camera or Display - 200mm / 8\""""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi"""
"""Distrelec""","""Europe""","""Switzerland""","""Flex Cable for Raspberry Pi Camera or Display - 24\"" / 610mm""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi"""
"""Distrelec""","""Europe""","""Switzerland""","""Flex Cable for Raspberry Pi Camera or Display - 300mm / 12\""""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi"""
"""Distrelec""","""Europe""","""Switzerland""","""LED Charlieplexed Matrix - 9x16 LEDs - Red""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""Distrelec""","""Europe""","""Switzerland""","""LED Charlieplexed Matrix - 9x16 LEDs - Warm White""","""Adafruit 16x9 Charlieplexed PWM LED Matrix Driver - IS31FL3731"""
"""Distrelec""","""Europe""","""Switzerland""","""Particle Argon Kit - nRF52840 with BLE and WiFi""","""FeatherWing Doubler - Prototyping Add-on For All Feather Boards"""
"""Distrelec""","""Europe""","""Switzerland""","""Particle Argon Kit - nRF52840 with BLE and WiFi""","""FeatherWing Tripler Mini Kit - Prototyping Add-on For Feathers"""
"""Distrelec""","""Europe""","""Switzerland""","""Platinum RTD Sensor - PT100 - 3 Wire 1 meter long""","""Adafruit PT100 RTD Temperature Sensor Amplifier - MAX31865"""
"""Distrelec""","""Europe""","""Switzerland""","""Short Feather Male Headers - 12-pin and 16-pin Male Header Set""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers"""
"""Distrelec""","""Europe""","""Switzerland""","""Short Headers Kit for Feather - 12-pin + 16-pin Female Headers""","""Short Feather Male Headers - 12-pin and 16-pin Male Header Set"""
"""Distrelec""","""Europe""","""Switzerland""","""Thermocouple Amplifier MAX31855 breakout board (MAX6675 upgrade)""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip"""
"""Distrelec""","""Europe""","""Switzerland""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip""","""Adafruit Universal Thermocouple Amplifier MAX31856 Breakout"""
"""Distrelec""","""Europe""","""Switzerland""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip""","""Analog Output K-Type Thermocouple Amplifier - AD8495 Breakout"""
"""Distrelec""","""Europe""","""Switzerland""","""Thermocouple Type-K Glass Braid Insulated Stainless Steel Tip""","""Thermocouple Amplifier MAX31855 breakout board (MAX6675 upgrade)"""
"""Eckstein Komponente""","""Europe""","""Germany""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""uFL SMT Antenna Connector"""
"""Eckstein Komponente""","""Europe""","""Germany""","""Adafruit ItsyBitsy M4 Express featuring ATSAMD51""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Eckstein Komponente""","""Europe""","""Germany""","""Adafruit Pro Trinket - 5V 16MHz""","""Adafruit LiIon/LiPoly Backpack Add-On for Pro Trinket/ItsyBitsy"""
"""Eckstein Komponente""","""Europe""","""Germany""","""Adafruit RFM69HCW Transceiver Radio Breakout - 433 MHz - RadioFruit""","""uFL SMT Antenna Connector"""
"""Eckstein Komponente""","""Europe""","""Germany""","""ANO Directional Navigation and Scroll Wheel Rotary Encoder""","""Adafruit ANO Rotary Navigation Encoder Breakout PCB"""
"""EFFEGI SRL""","""Europe""","""Italy""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Header Kit for Feather - 12-pin and 16-pin Female Header Set"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit 8x16 LED Matrix FeatherWing w/o Matrices""","""Miniature 8x8 Yellow LED Matrix"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit CSI or DSI Cable Extender Thingy for Raspberry Pi""","""Flex Cable for Raspberry Pi Camera or Display - 50mm / 2\"""""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit Feather 32u4 RFM69HCW Packet Radio - 868 or 915 MHz - RadioFruit""","""Simple Spring Antenna - 915MHz"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit Feather 32u4 RFM95 LoRa Radio- 868 or 915 MHz - RadioFruit""","""Simple Spring Antenna - 915MHz"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit Feather RP2040 - Pink""","""Adafruit FeatherWing OLED - 128x32 OLED Add-on For Feather"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit HUZZAH ESP8266 Breakout""","""USB to TTL Serial Cable - Debug / Console Cable for Raspberry Pi"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit NeoPixel LED Dots Strand - 20 LED 4\"" Pitch""","""3-pin JST SM Plug + Receptacle Cable Set"""
"""Electrokit Sweden AB""","""Europe""","""Sweden""","""Adafruit PT100 RTD Temperature Sensor Amplifier - MAX31865""","""Platinum RTD Sensor - PT100 - 3 Wire 1 meter long"""
